Var1_1,Var1_2,Var1_3,Var1_4,Var1_5,Var1_6,Var1_7,Var1_8,Var1_9,Var1_10,Var1_11,Var1_12,Var1_13,Var1_14,Var1_15,Var1_16,Var1_17,Var1_18,Var1_19,Var1_20,Var1_21,Var1_22,Var1_23,Var1_24,Var1_25,Var1_26,Var1_27,Var1_28,Var1_29,Var1_30,Var1_31,Var1_32,Var1_33,Var1_34,Var1_35,Var1_36,Var1_37,Var1_38
0.978627144549598,0.973718054512901,0.967664714122592,0.965917148759386,0.968309907680983,0.975625471401784,0.986948557016948,1.00251417897478,1.02204632015535,1.0451709060933,1.07137321206118,1.10016577877688,1.13064831150263,1.16177750364418,1.19234783011262,1.22111268193486,1.24715328171115,1.26936933238435,1.28679947841264,1.29876769319465,1.30482106446897,1.30481707712556,1.29890214802716,1.28747423416183,1.27113348551966,1.25034952020369,1.22615737678881,1.19949215155234,1.17137801269233,1.14272879840046,1.11419952153521,1.08657935819508,1.06057855707628,1.03680818790069,1.01581179173738,0.99805544574357,0.983536234586295,0.978627144549598
1.62732280781963,1.61967816626902,1.61103919531687,1.60930233508691,1.61453086323255,1.62672041808227,1.64579555155392,1.67120276791269,1.70271131726988,1.73971854785491,1.78107432841869,1.82581468575431,1.87281228429379,1.92041242415792,1.96552789027695,2.00163944173691,1.9356410412999,1.79934665217063,1.78143055467924,1.78299969240078,1.8044679318819,1.84556037426358,2.02541420990784,2.0994901443392,2.08054997102421,2.05028420091308,2.01302840504179,1.97171878972762,1.92798047217125,1.88309915010812,1.83809261466582,1.79467310431104,1.75397029011062,1.71675278365231,1.68402387788394,1.65656785738032,1.63496744937025,1.62732280781963
1.97822406397063,1.96941263044357,1.95945801265564,1.95743344789251,1.96346830953813,1.97755350306174,1.9995353540349,2.02902251212488,2.06487836372546,2.10685534329351,2.15383530265908,2.20400734407144,2.25278214359688,2.25284262474296,2.06502990693079,1.9658423202046,1.93219164475621,1.91901356438003,1.91178633388204,1.91484633541618,1.93257568998468,1.95886690215065,1.99152379652428,2.04776947127836,2.17124158803078,2.38507553372654,2.4101092170717,2.36991441964082,2.32189687890078,2.27118172706987,2.2203226925025,2.170966191583,2.1241406438868,2.08125615834437,2.04356509929011,2.01193100142668,1.98703549749768,1.97822406397063
2.20889972747039,2.19931689432842,2.18839075089227,2.1859860707075,2.19223903766635,2.20713852650142,2.23017552238013,2.2608035827329,2.29866724306884,2.34289162821384,2.39178275134174,2.44061134232265,2.46756584771955,2.32072632437966,2.1488305535267,2.08245183892659,2.05888532662048,2.04399835986992,2.03199558979069,2.03481256771849,2.05257879023275,2.08384523599067,2.11800333819803,2.16023274700532,2.24688264510774,2.43380103808114,2.61069462699428,2.61795706708452,2.57286145081399,2.52091927099166,2.46750176503245,2.41517046003862,2.36558663204366,2.32016626560297,2.2795655206456,2.24543943325764,2.21848256061235,2.20889972747039
2.37306197113765,2.36290956336163,2.35113421087963,2.34820089494292,2.35425406799636,2.36921135173528,2.39216513602887,2.42337953804268,2.4618909374022,2.50662102857952,2.55524929090418,2.60258096411437,2.60143817280636,2.45063822806434,2.27612874199066,2.20756421295357,2.17442482887504,2.15881863403641,2.15321649966614,2.15734786509006,2.17349591478994,2.19915542601348,2.23435416068221,2.28740920052414,2.37396550832909,2.55814841892947,2.74225110136635,2.78724733811791,2.74627654955502,2.69556120626168,2.64138296506503,2.58746155831094,2.53627493185519,2.48926291467722,2.44732935462177,2.41157657929118,2.38321437891368,2.37306197113765
2.49481132512028,2.48419457230818,2.47166626859036,2.46810368998414,2.47365962728409,2.48818826963431,2.51096067812067,2.54204431173097,2.58056841601308,2.62524712405077,2.67405980564061,2.72197954900661,2.74086840734298,2.61932135523839,2.44144821728833,2.34081649682536,2.28761704093977,2.26803161040792,2.26228835806306,2.26726079862004,2.28302776542611,2.30927457288605,2.34910660496075,2.42152472656802,2.53380307940157,2.72518781524079,2.88249852783538,2.91476227083124,2.87412741530534,2.82371032822561,2.7692473537117,2.71460403101986,2.66258688114996,2.6145340686201,2.57172962239144,2.53483227291659,2.50542807793239,2.49481132512028
2.58740351669435,2.57638610503227,2.5630662465067,2.55880701101418,2.56377355721904,2.57792183097088,2.60014215229107,2.63073707911446,2.66879751281337,2.71333774106997,2.7623613839639,2.81015163008355,2.8507649709903,2.78489517407143,2.63897109789866,2.49337383515906,2.4237745161672,2.3878173767542,2.37002160691651,2.37301478059548,2.39122953363951,2.42995831365949,2.48629664186765,2.56891088621122,2.72779555070005,2.90273399848042,3.02627036717437,3.01490529284414,2.97174394751402,2.92048281285419,2.8658865333695,2.81106363432238,2.75856414511388,2.70997207653216,2.66631186954286,2.62864452885973,2.59842092835643,2.58740351669435
2.65891263810001,2.64753637022046,2.63347868131322,2.6284720298551,2.63270581226916,2.64615755523945,2.66798463552479,2.69785395541289,2.73528853785019,2.77941207827456,2.82779324557736,2.87728627471194,2.92308266606629,2.93087521495313,2.83391890990559,2.70005868703427,2.58777488085744,2.52520408360361,2.50771609272821,2.50904754485703,2.52935113747809,2.5682008490914,2.64533214902525,2.77273489178191,2.92927488509256,3.06073587103058,3.12035442544831,3.09061841265346,3.04761532733233,2.99499076616675,2.94022221253576,2.88556032448476,2.8328254876763,2.78392578987294,2.73944592427321,2.7011481954746,2.67028890597955,2.65891263810001
2.7146509273801,2.70296020423529,2.68817976033859,2.68241146102011,2.68584262062899,2.69846682726314,2.72002681264231,2.74897466275826,2.78564564351607,2.8288029116787,2.87702612482855,2.9283823912538,2.97622052491031,3.01686616631503,2.99025740585763,2.90515480047545,2.80065066645539,2.72126346510435,2.6786253855154,2.67143729305822,2.69821833536318,2.75900450008532,2.8562585954931,2.98168229032722,3.10344294487236,3.19355435572837,3.18602608153277,3.1502228223643,3.10480624660124,3.05298841757454,2.99809283862367,2.94360408232513,2.89096005349695,2.84163965148401,2.79657499979301,2.75781171398785,2.72634165052491,2.7146509273801
2.75835019623718,2.74633391844358,2.73084142380973,2.72428790187671,2.72687156849199,2.73859357221554,2.75925239245719,2.78794928035167,2.82355034948141,2.8658734780481,2.91361198202364,2.96430131782652,3.01539415967202,3.06249354322677,3.09875821218149,3.06317960234934,2.99900363215216,2.93573715574407,2.89381363317511,2.88611990868553,2.9129957427533,2.9736305040142,3.06481936503316,3.15821729298743,3.24948958603707,3.25789614911662,3.23344377964122,3.19722069922346,3.14958567884125,3.09764670535525,3.04350604623994,2.98920306747405,2.9368372541447,2.88676095992039,2.84148995124138,2.80234535933371,2.77036647403078,2.75835019623718
2.79270891297511,2.78039548164785,2.76420126165689,2.75685266428596,2.75856110034957,2.76934085925944,2.78899609629353,2.81711896804113,2.85200231064188,2.89334768919236,2.9400238832146,2.99081051701129,3.04269394753925,3.09189242468706,3.13760844002736,3.17060558256485,3.15159112637802,3.11544032393335,3.0898960129638,3.08882143419458,3.11269706844566,3.16093943661522,3.22607000966015,3.30040779990745,3.31363433261696,3.29913750063665,3.2711603428207,3.2312115510927,3.18449007222407,3.13263912757891,3.07906339537782,3.02527428044275,2.97256064044585,2.92232725892139,2.87691873495944,2.83746811856717,2.80502234430237,2.79270891297511
2.81970230865185,2.80710154369204,2.7902121694703,2.78206463559484,2.78288530416061,2.79269498855432,2.81131311069468,2.83834087554864,2.87308422721781,2.913222707504,2.95903484535472,3.00887701507463,3.06083968136886,3.11294758347567,3.15962820098986,3.20311980786806,3.23470556580375,3.24954402538499,3.24056688641874,3.24370776334171,3.26652140416168,3.30855820450654,3.34523919856234,3.35491701621661,3.34837586295741,3.32849965817234,3.29797873976732,3.25780655403501,3.21086052267762,3.16009339282634,3.10704301787597,3.05377609174261,3.00050069217972,2.95039236677446,2.90486780314357,2.86518327608695,2.83230307361166,2.81970230865185
2.84085083673368,2.82796974846604,2.81039190076703,2.80144477846143,2.80136869222538,2.8101985546659,2.82775927506047,2.85366987770023,2.88728244812586,2.92728228275009,2.9719676517901,3.02089197701125,3.07257097934751,3.12437720696221,3.17531111992928,3.21923025045144,3.25947926708315,3.29143694985896,3.31794404842,3.34092818380489,3.35981643007896,3.37406832455572,3.38339073284029,3.38214903888711,3.37094989491293,3.34988787468744,3.31735367034238,3.27742411220876,3.2313307757862,3.18127721172254,3.12911819003298,3.07536726833098,3.02248267049912,2.97252962392642,2.9269508693875,2.88698811097104,2.85373192500132,2.84085083673368
2.85728840060939,2.84412417780147,2.825897310059,2.8161718492751,2.81519831138095,2.82304229380371,2.83954310978684,2.86432683520363,2.89676575654415,2.93612409505608,2.98021929403076,3.02819090978444,3.07895472661018,3.13110571088567,3.18154431453579,3.23001668217105,3.27131541961898,3.30760554052308,3.33908145917607,3.3648713067182,3.38419682546872,3.39653016807937,3.40156221116946,3.39920335757667,3.38691524472856,3.36323625177369,3.33164672458571,3.29197924607205,3.24694811148566,3.19778990549171,3.14591801949795,3.09220532842055,3.03969142018965,2.98994880008904,2.94433410871002,2.90414275659554,2.87045262341731,2.85728840060939
